"ID","odpoved","spravna","ID otázky","volba"
0,"Rychlost reakcí uživatelského rozhraní",NEPRAVDA,"01-01","b"
1,"Jednodušší instalace a správa aplikace",PRAVDA,"01-01","c"
2,"Nevyžadují stejné prostředí na uživatelském počítači",PRAVDA,"01-01","a"
3,"Přenos datových paketů mezi komunikujícími uzly",PRAVDA,"01-02","d"
4,"Definuje formát zpráv pro zasílání webových stránek",NEPRAVDA,"01-02","c"
6,"Zasílání e-mailových zpráv",NEPRAVDA,"01-02","b"
7,"Vytvoření spolehlivého spojení mezi aplikacemi",NEPRAVDA,"01-02","a"
8,"<h2>",PRAVDA,"02-01","e"
10,"<p>",PRAVDA,"02-01","c"
11,"<strong>",NEPRAVDA,"02-01","d"
12,"<base>",NEPRAVDA,"02-01","b"
13,"<sub>",NEPRAVDA,"02-01","a"
14,"<input type=""textarea"" ...> pro několikařádkový textový popis letiště",PRAVDA,"02-02","e"
15,"<input type=""radio"" ... > pro výběr pohlaví zákazníka",PRAVDA,"02-02","c"
16,"<select ...> pro zadání čísla kreditní karty",NEPRAVDA,"02-02","d"
17,"<input type=""password"" ...> pro zadání e-mailové adresy",NEPRAVDA,"02-02","b"
18,"<input type=""reset"" ...> pro výběr data odletu",NEPRAVDA,"02-02","a"
24,"V době vzniku HTML byl CSS již zavedeným jazykem pro formátování dokumentů a jako takový vhodnou volbou pro HTML 1.0",NEPRAVDA,"03-01","a"
25,"Oddělení obsahu a formátování umožňuje vytvářet jednodušší dokumenty",PRAVDA,"03-01","b"
26,"Selektor #element1 vybere HTML element s atributem id=""1""",NEPRAVDA,"03-02","a"
27,"Selektor #element1 vybere HTML element s atributem id=""element1""",PRAVDA,"03-02","b"
28,"Selektor .img vybere také element <img src=""kitty.png"" id=""img""/>",NEPRAVDA,"03-02","c"
29,"Všechny nadpisy první úrovně vyberete selektorem h1",PRAVDA,"03-02","e"
30,"Selektor h2.big vybere také element <h2 class=""big"">...</h2>",PRAVDA,"03-02","d"
31,"Zajistit směrování požadavků na správné místo v aplikaci",PRAVDA,"04-01","b"
32,"Zpracovat formulářová data",PRAVDA,"04-01","c"
33,"Vytvářet dynamicky výstupní stránky",PRAVDA,"04-01","a"
34,"Jako vhodný doplněk k mléku",NEPRAVDA,"04-02","d"
35,"K udržování informací o přihlášeném uživateli",PRAVDA,"04-02","c"
36,"Pro komunikaci s databází",NEPRAVDA,"04-02","a"
37,"K ukládání větších dat, která se nevejdou do paměti serveru",NEPRAVDA,"04-02","b"
38,"Založení a správa databázových tabulek",PRAVDA,"05-01","c"
39,"Automatickou správu vztahů mezi objekty v databázi",PRAVDA,"05-01","d"
40,"Deklarativní validaci dat",PRAVDA,"05-01","e"
41,"Automatické spouštění obchodní logiky aplikace",NEPRAVDA,"05-01","a"
42,"Mazání starších, nepotřebných dat z databáze",NEPRAVDA,"05-01","b"
43,"Airport.create(:name => 'Prague Airport', :code => 'PRG')",PRAVDA,"05-02","c"
44,"Airport.update(:name => 'Prague Airport', :code => 'PRG')",NEPRAVDA,"05-02","b"
45,"Airport.find_by_code('PRG').name='Prague Airport'",NEPRAVDA,"05-02","a"
46,"Přidání cizího klíče customer_id do tabulky letenky (airticket)",PRAVDA,"06-01","e"
49,"Deklarace vztahu pomocí belongs_to :customer na straně letenky (třída Airticket)",NEPRAVDA,"06-01","a"
50,"Deklarace vztahu pomocí has_one :customer na straně letenky (třída Airticket)",NEPRAVDA,"06-01","d"
51,"Deklarace vztahu pomocí has_many :airtickets na straně zákazníka (třída Customer)",NEPRAVDA,"06-01","b"
52,"Deklarace vztahu pomocí belongs_to_many :customers na straně zákazníka (třída Airticket)",NEPRAVDA,"06-01","c"
54,"validates_length_of :name, :is => 5",NEPRAVDA,"06-02","d"
55,"validates_inclusion_of :name, :in => /[A-Z]/, :position => :first, :min => 5",NEPRAVDA,"06-02","f"
56,"validates_format_of :name, :with => /^[A-Z].{4}/",PRAVDA,"06-02","c"
57,"validates_uniqueness_of :name, :scope => [:code]",NEPRAVDA,"06-02","a"
58,"validates_uniqueness_of :name",PRAVDA,"06-02","b"
59,"render",PRAVDA,"08-01","a"
60,"Nemusíme explicitně uvádět žádný kód, tato šablona je použita automaticky",PRAVDA,"08-01","c"
61,"render :action => 'update'",PRAVDA,"08-01","b"
63,"redirect_to :action => 'update'",NEPRAVDA,"08-01","d"
64,"Vytváří funkční kombinaci controlleru a šablon stránek",PRAVDA,"07-01","c"
65,"V typické aplikaci není nutné jeho výstup dále upravovat",NEPRAVDA,"07-01","b"
66,"Vytvořené třídy objektového modelu obsahují deklarace vazeb 1:1 a 1:N",NEPRAVDA,"07-01","a"
67,"Po jeho spuštění je automaticky aktualizováno databázové schéma a do tabulky jsou vložena testovací data",NEPRAVDA,"07-01","d"
68,"Volání render :partial => 'my_template' použije šablonu v souboru my_template.erb.html",NEPRAVDA,"08-02","c"
69,"Volání render :partial => 'my_template' použije šablonu v souboru _my_template.html.erb",PRAVDA,"08-02","d"
70,"Nemáme ze sdílené šablony přístup k instančním proměnným controlleru",NEPRAVDA,"08-02","a"
71,"Můžeme jednu šablonu použít pro zobrazení seznamu objektů (je možné automaticky přes seznam iterovat)",PRAVDA,"08-02","b"
72,"params['airport_name']",NEPRAVDA,"08-03","e"
73,"params[:airport][:name]",PRAVDA,"08-03","b"
74,"params[:airport_name]",NEPRAVDA,"08-03","c"
75,"params[:name] (jen v controlleru AirportController)",NEPRAVDA,"08-03","d"
76,"Parametr není přístupný, protože jsme ho nedeklarovali v hlavičce controlleru",NEPRAVDA,"08-03","a"
77,"Chyba na řádku 02",NEPRAVDA,"08-04","c"
78,"Chyba na řádku 04",PRAVDA,"08-04","d"
79,"Chyba na řádku 06",NEPRAVDA,"08-04","b"
80,"Chyba na řádku 02 a 06",NEPRAVDA,"08-04","a"
81,"Ukázka neobsahuje chybu",NEPRAVDA,"08-04","e"
82,"Registr služeb",PRAVDA,"09-01","d"
83,"Klient",PRAVDA,"09-01","e"
84,"Služba",PRAVDA,"09-01","c"
85,"Server organizace W3C",NEPRAVDA,"09-01","b"
86,"Webový prohlížeč",NEPRAVDA,"09-01","a"
87,"Prostředkem komunikace mezi webovými aplikacemi",PRAVDA,"09-02","a"
88,"Pomalu zastarávajícím způsobem prezentace dat uživateli",NEPRAVDA,"09-02","c"
90,"Vhodným prostředkem pro zobrazení informací ve webovém prohlížeči",NEPRAVDA,"09-02","b"
91,"Implementovány vždy pomocí jazyka Ruby",NEPRAVDA,"09-02","d"
92,"Vložit element <script> s definicí funkce až na konec sekce <head>",NEPRAVDA,"11-01","b"
93,"Použít událostí - definovat obsluhu události např. pomocí <body onload='enrichDocument();'>",PRAVDA,"11-01","a"
94,"Přejmenovat funkci na _onload_enrichDocument",NEPRAVDA,"11-01","c"
95,"Funkci je možné spustit jen jako reakci na událost, způsobenou uživatelem (kliknutí nebo pohyb kurzoru)",NEPRAVDA,"11-01","d"
96,"Hodnota ""a""",NEPRAVDA,"10-01","e"
97,"Hodnota ""b""",PRAVDA,"10-01","c"
98,"Hodnota ""c""",NEPRAVDA,"10-01","b"
99,"Hodnota ""d""",NEPRAVDA,"10-01","d"
100,"Nic, dojde k chybě",NEPRAVDA,"10-01","a"
101,"10-krát",NEPRAVDA,"10-02","c"
102,"9-krát",NEPRAVDA,"10-02","d"
103,"11-krát",PRAVDA,"10-02","b"
104,"Dojde k nekonečnému zacyklení",NEPRAVDA,"10-02","a"
105,"Rozhraní HTML tabulek při přístupu z JavaScript (způsob přístupu k buňkám, metody pro přidávání a mazání řádek, ...)",PRAVDA,"11-02","c"
106,"Způsob serializace a deserializace XML dat",NEPRAVDA,"11-02","d"
107,"Validační metody pro formulářové prvky",NEPRAVDA,"11-02","a"
108,"Standardy pro prohlížeče (seznam podporovaných barev, minimální velikost okna, ....)",NEPRAVDA,"11-02","b"
109,"Po vyslání AJAX požadavku na server nemusí uživatel čekat na jeho dokončení a může dále se stránkou pracovat (např. vyplňovat formuláře)",PRAVDA,"12-01","b"
110,"Uživatelské požadavky jsou na serveru zpracovány v době malé zátěže (v noci, o víkendu)",NEPRAVDA,"12-01","a"
111,"Výsledky AJAX volání nejsou zobrazovány na webové stránce, ale přijdou uživateli e-mailem",NEPRAVDA,"12-01","d"
112,"Server nemusí běžet v době, kdy si uživatel chce zobrazit webovou stránku",NEPRAVDA,"12-01","c"
113,"Jsou interpretovány (spouštěny) na serveru a generují JavaScript kód, který je po přenosu na klientskou stranu spuštěn v prohlížeči",PRAVDA,"12-02","a"
114,"Mohou obsahovat JavaScript kód",PRAVDA,"12-02","c"
115,"Zásadně neslouží pro komunikaci s uživatelem",NEPRAVDA,"12-02","d"
116,"Mohou implementovat podobnou funkčnost, jako je našeptávač nebo editace na vyžádání",PRAVDA,"12-02","b"
117,"V HTML 4 již nedostačovaly možnosti formátování poskytované elementem <title>",NEPRAVDA,"03-01","c"
119,"CSS vznikla jako bezpečnější varianta formátování než HTML (pro ochranu proti hackerským útokům).",NEPRAVDA,"03-01","d"
120,"XHTML je aplikací (instancí) XML, každý XHTML dokument je zároveň XML dokumentem",PRAVDA,"02-03","c"
121,"Jedná se o nezávislé značkovací jazyky s odlišnou syntaxí",NEPRAVDA,"02-03","a"
122,"XHTML bylo vzorem při vytváření standardu jazyka XML",NEPRAVDA,"02-03","b"
123,"Oba jazyky jsou vhodné pro ukládání strukturovaných dat do databází",NEPRAVDA,"02-03","d"
124,"K přenosu datových paketů mezi komunikujícími uzly",NEPRAVDA,"01-05","a"
125,"Definuje formát zpráv pro zasílání webových stránek (a formát požadavků na ně)",PRAVDA,"01-05","b"
126,"Zasílání e-mailových zpráv",NEPRAVDA,"01-05","d"
127,"K opravě poškozených datových paketů",NEPRAVDA,"01-05","c"
128,"onblur, onsubmit a onchange",PRAVDA,"11-03","b"
129,"onfocus a onload",NEPRAVDA,"11-03","a"
130,"onsubmit, onunload a onmouseout",NEPRAVDA,"11-03","c"
131,"onclick a onreset",NEPRAVDA,"11-03","d"
132,"Třídu controlleru",NEPRAVDA,"07-03","b"
133,"Šablony pro generování stránek",NEPRAVDA,"07-03","c"
134,"Formuláře s podporou AJAX validace",PRAVDA,"07-03","a"
135,"Záznam do konfigurace směrování požadavků",NEPRAVDA,"07-03","d"
136,"Zajištění spolehlivého spojení mezi dvěma uzly v síti",PRAVDA,"01-04","d"
137,"<p><strong>Vyrazny odstavec s <br/><a href=""http://www.unicorn.cz"">odkazem</a></strong></p>",PRAVDA,"02-05","b"
138,"<p><strong>Vyrazny odstavec s <br> <a href=""http://www.unicorn.cz"">odkazem</a></strong></p>",NEPRAVDA,"02-05","a"
139,"<p><strong>Vyrazny odstavec s <a href=""http://www.unicorn.cz"">odkazem</a></p></strong>",NEPRAVDA,"02-05","c"
140,"</p></strong>Vyrazny odstavec s <a href=""http://www.unicorn.cz"">odkazem</a><strong><p>",NEPRAVDA,"02-05","e"
141,"<p><strong>Vyrazny odstavec s <br/><a href=http://www.unicorn.cz>odkazem</a></strong></p>",NEPRAVDA,"02-05","d"
142,"#kapitola2 h1.nadpis {font-weight: bold;}",PRAVDA,"03-03","c"
143,".kapitola2 h1#nadpis {font-width: wide;}",NEPRAVDA,"03-03","d"
144,".kapitola2 > h1#div {font-width: wide;}",NEPRAVDA,"03-03","a"
145,".kapitola2 .h1 .nadpis {font-weight: bold;}",NEPRAVDA,"03-03","b"
146,"Všechny buňky tabulky s nastaveným atributem class=""seznam""",PRAVDA,"03-04","c"
147,"Všechny buňky tabulky s nastaveným atributem id=""seznam""",NEPRAVDA,"03-04","d"
148,"Buňky tabulek, obsažených v číslovaných (<ol>) a nečíslovaných <ul> seznamech",NEPRAVDA,"03-04","b"
149,"Buňky v libovolné tabulce, které mají nastaven atribut class=""seznam""",NEPRAVDA,"03-04","a"
150,"Buňky v libovolné tabulce, které mají nastaven atribut id=""seznam""",NEPRAVDA,"03-04","e"
151,"Název použitého protokolu",NEPRAVDA,"01-03","e"
152,"Uživatelské jméno a heslo",NEPRAVDA,"01-03","a"
153,"Cesta k požadovaném dokumentu na serveru",NEPRAVDA,"01-03","d"
154,"Jméno serveru",NEPRAVDA,"01-03","c"
155,"Popis kódování diakritiky v požadavku",PRAVDA,"01-03","b"
156,"Jako seznam dvojic klíč-hodnota (textové hodnoty) v těle HTTP požadavku nebo přímo jako parametry v URL.",PRAVDA,"04-03","c"
157,"Zašifrovaná pomocí protokolu SSL v URL požadavku",NEPRAVDA,"04-03","b"
158,"Nejsou odesálána automaticky, po přijetí požadavku si server vyžádá od prohlížeče potřebné parametry (podle jména), přenášeny jsou pak jednotlivě v samostatném síťovém spojení.",NEPRAVDA,"04-03","a"
159,"Dojde k jejich převodu na číselnou reprezentaci a ta je pro šetření přenosové kapacity komprimována do formátu GZIP",NEPRAVDA,"04-03","d"
162,"Mohou mít časově omezenou platnost",PRAVDA,"04-04","a"
163,"Uložené hodnoty jsou odesílány s každým klientským požadavkem na server",PRAVDA,"04-04","b"
164,"Hodnoty cookies pocházejí ze serveru a jsou ukládány v klientském prohlížeči",PRAVDA,"04-04","c"
165,"Cookies obsahují seznam dvojic klíč-hodnota (textové hodnoty)",PRAVDA,"04-04","d"
166,"t.string :attr1",PRAVDA,"05-03","c"
168,"string t, :attr3",NEPRAVDA,"05-03","b"
169,"t.dayofyear :attr4, :exclude => ['Sun 13, Jan','Sat 15, Feb']",NEPRAVDA,"05-03","e"
170,"t.integer :attr4, :default => 15",PRAVDA,"05-03","d"
171,"ap.save!",PRAVDA,"05-04","a"
172,"ap.store_and_commit",NEPRAVDA,"05-04","c"
173,"ap.update",NEPRAVDA,"05-04","b"
174,"ap.new",NEPRAVDA,"05-04","d"
175,"belongs_to :airticket_item",PRAVDA,"06-03","a"
176,"has_one :airticket_item",NEPRAVDA,"06-03","b"
177,"has_many :airticket_item",NEPRAVDA,"06-03","c"
178,"one_to_one :airticket_item, :boarding_pass",NEPRAVDA,"06-03","d"
179,"depends_on :airticket_item",NEPRAVDA,"06-03","e"
180,"has_many :airtickets, :through => :airticket_items",PRAVDA,"06-04","e"
181,"has_many :airticket_items",NEPRAVDA,"06-04","a"
182,"has_many :airtickets",NEPRAVDA,"06-04","b"
183,"belongs_to :airtickets :through => :airticket_items",NEPRAVDA,"06-04","d"
184,"belongs_to :airtickets",NEPRAVDA,"06-04","c"
185,"GET",PRAVDA,"09-03","a"
186,"POST",NEPRAVDA,"09-03","c"
187,"PUT",NEPRAVDA,"09-03","e"
188,"DELETE",NEPRAVDA,"09-03","d"
189,"READ",NEPRAVDA,"09-03","b"
190,"RJS šablony",PRAVDA,"08-05","e"
191,"Erb šablony",PRAVDA,"08-05","c"
192,"Builder šablony",PRAVDA,"08-05","b"
193,"HTM šablony",NEPRAVDA,"08-05","d"
194,"ActiveRecord šablony",NEPRAVDA,"08-05","a"
195,"<%= yield %>",PRAVDA,"08-06","c"
196,"<%= yawn %>",NEPRAVDA,"08-06","a"
197,"<%= include_template :name => 'nazev_sablony' %>",NEPRAVDA,"08-06","b"
198,"<% include page content %>",NEPRAVDA,"08-06","d"
199,"<%= drop %>",NEPRAVDA,"08-06","e"
200,"Provede tzv. nekonečný cyklus, tedy nikdy neskončí (alespoň teoreticky, prohlížeč nás může upozornit na nereagující skript a umožnit ho ručně ukončit)",PRAVDA,"10-03","e"
202,"Neprovede nic, příkaz není syntakticky správný",NEPRAVDA,"10-03","c"
203,"Pokud nezadáme parametry, cyklus for automaticky prochází všechna formulářová pole, v těle cyklu jsou hodnoty přístupné v proměnných form_field_name a form_field_value",NEPRAVDA,"10-03","a"
204,"Tělo cyklu je provedeno přesně 1x",NEPRAVDA,"10-03","d"
205,"Tělo cyklu je přeskočeno (neprovede se ani jednou)",NEPRAVDA,"10-03","b"
206,"rodič (parentNode)",PRAVDA,"11-04","d"
207,"první dítě (firstChild)",PRAVDA,"11-04","a"
208,"další sourozenec (nextSibling)",PRAVDA,"11-04","c"
209,"předchozí strýc (previousUncle)",NEPRAVDA,"11-04","e"
210,"sourozenec s minimální hodnotou (minValueSibling)",NEPRAVDA,"11-04","b"
211,"první rodič (firstParent)",NEPRAVDA,"11-04","f"
212,"script.aculo.us",PRAVDA,"12-03","b"
213,"del.icio.us",NEPRAVDA,"12-03","a"
214,"Prototype",PRAVDA,"12-03","c"
215,"Protoplasm",NEPRAVDA,"12-03","e"
216,"Subclass",NEPRAVDA,"12-03","d"
217,"Yahoo! widgets",NEPRAVDA,"12-03","f"
218,"Zasílání e-mailových zpráv",NEPRAVDA,"01-04","b"
219,"Přenos monitorovacích údajů o stavu sítě",NEPRAVDA,"01-04","a"
220,"Podpora odesílání HTML dokumentů",NEPRAVDA,"01-04","c"
221,"<em>",PRAVDA,"02-04","e"
222,"<sub>",PRAVDA,"02-04","d"
223,"<head>",NEPRAVDA,"02-04","c"
224,"<p>",NEPRAVDA,"02-04","a"
225,"<div>",NEPRAVDA,"02-04","b"
226,"innerHTML",PRAVDA,"11-05","b"
227,"parsedChildren",NEPRAVDA,"11-05","a"
228,"document.write()",NEPRAVDA,"11-05","c"
229,"Žádná taková vlastnost neexistuje",NEPRAVDA,"11-05","d"
230,"#kapitola2 h1.nadpis {font-weight: bold;}",NEPRAVDA,"03-05","c"
231,".kapitola1, .kapitola2 h1.nadpis {font-width: wide;}",NEPRAVDA,"03-05","a"
232,"div h1.nadpis {font-weight: bold;}",PRAVDA,"03-05","b"
233,".kapitola? * {font-width: wide;}",NEPRAVDA,"03-05","d"
234,"<% ruby_kod %>",PRAVDA,"07-04","a"
235,"<%= ruby_kod %>",PRAVDA,"07-04","b"
236,"<ruby:insert>ruby_kod</ruby:insert>",NEPRAVDA,"07-04","c"
237,"<ruby> ruby_kod </ruby>",NEPRAVDA,"07-04","d"
238,"<< ruby_kod >>",NEPRAVDA,"07-04","e"
239,"flash[:notice] = 'Airport was successfully created.'",PRAVDA,"07-05","b"
240,"cookies[:result] = 'Airport was successfully updated.'",NEPRAVDA,"07-05","c"
241,"render :action => 'delete' unless @airport.exists ",NEPRAVDA,"07-05","a"
242,"unless @airport.exists render :template => 'delete'",NEPRAVDA,"07-05","e"
243,"redirect_to delete_url(@airport) unless @airport.exists ",NEPRAVDA,"07-05","d"
244,"<h<%= 1+2-1 %>>Nadpis</h<%= 1+2-1 %>>",PRAVDA,"07-06","e"
245,"<h<% 1+2-1 %>>Nadpis</h<% 1+2-1 %>> ",NEPRAVDA,"07-06","a"
246,"<ul><% 10.times do |i| %><li> <%=i %> </li><% end %></ul>",PRAVDA,"07-06","d"
247,"<ul><%= 10.times do |i| %><li> <% i %> </li><%= end %></ul>",NEPRAVDA,"07-06","b"
248,"<% < %> <%= 'li' =%> >",NEPRAVDA,"07-06","c"
249,"K případným chybám v infrastruktuře (hardware/software/síť) může dojít na více místech (např. nefunkční webový server)",PRAVDA,"01-06","c"
250,"Nemohou používat technologii Flash",NEPRAVDA,"01-06","a"
251,"Typicky delší doba odezvy a méně přívětivé uživatelské rozhraní (částečně řešeno technologií AJAX)",PRAVDA,"01-06","e"
252,"Ke své práci potřebují na počítači nainstalovaný webový prohlížeč",NEPRAVDA,"01-06","b"
253,"Protokol HTTP zbytečně zatěžuje síťové spojení mezi klientským počítačem a serverem zasíláním synchronizačních informací i ve chvíli, kdy si uživatel jen prohlíží vygenerované HTML stránky",NEPRAVDA,"01-06","d"
